url,abstract,short_abstract,BART_sum
Titanenstrijd,De Titanenstrijd is een verhaal uit de Griekse mythologie. Het handelt over de strijd tussen de titanen en de Olympische goden.,De Titanenstrijd is een verhaal uit de Griekse mythologie. Het handelt over de strijd tussen de Titanen en de Olympische goden.,rezumat: De Titanenstrijd este un verhaal uit mythologia greacă. Het handelt over de strijd între titani şi zeii olimpici.ro_RO summarize:
OsCommerce,"OsCommerce is opensourcesoftware waarmee een onlinewinkel kan worden gestart en onderhouden. Om osCommerce te kunnen gebruiken is een server nodig waarop een webserver (bijvoorbeeld Apache), PHP en MySQL zijn geïnstalleerd. De online betaaloplossingen van ChronoPay, MultiSafePay, TrustCommerce, SecPay, iPayment kunnen automatisch worden geïnstalleerd. Vele andere betaalmodulen zoals bijvoorbeeld iDeal en PayPal zijn ook beschikbaar.","OsCommerce is opensourcesoftware waarmee een onlinewinkel kan worden gestart en onderhouden. Om osCommerce te kunnen gebruiken is een server nodig waarop een webserver (bijvoorbeeld Apache), PHP en MySQL zijn geïnstalleerd. De online betaaloplossingen van ChronoPay, MultiSafePay, TrustCommerce, SecPay, iPayment kunnen automatisch worden geïnstalleerd. Vele andere betaalmodules zoals iDeal en PayPal zijn ook beschikbaar.","summarize: OsCommerce este software opensource waarmee un magazin online poate fi lansat şi întreţinut. Pentru a putea utiliza osCommerce este nevoie de un server pe care să fie instalat un webserver (de exemplu Apache), PHP şi MySQL. Soluţiile online de plată ChronoPay, MultiSafePay, TrustCommerce, SecPay, iPayment pot fi instalate automat. Sunt disponibile şi alte module de plată, precum iDeal şi PayPal."
Siernetel,"Siernetel (Solenostemon scutellarioides, synoniem: Coleus blumei) is een plant uit de lipbloemenfamilie (Lamiaceae). De plant wordt in de volksmond ook vaak coleus genoemd (niet te verwarren met het geslacht Coleus). De planten waren al in cultuur toen ze werden meegenomen naar Europa vanuit Indonesië en de wilde voorouders zijn niet precies bekend. Het is een plant met niet-stekende, netelige bladeren, die niet giftig zijn en geen aangetoonde hallucinogene eigenschappen hebben. De plant is in cultuur vanwege zijn sierwaarde, vanwege de bontgekleurde bladeren, die soms ook nog gekarteld of gefranjerd zijn. Er zijn zowel via stek als via zaad vermeerderde cultivars, die af en toe bij tuincentra in de vorm van zaadjes of jonge plantjes te koop zijn. De via stek vermeerderde cultivars hebben een hogere sierwaarde, maar zijn ook duurder dan de vaak als eenjarige perkplanten verkochte zaaicultivars. Vooral in de Verenigde Staten en Japan zijn vele cultivars verkrijgbaar. De laatste jaren zijn er vooral in de Verenigde Staten vele nieuw ontwikkelde cultivars bijgekomen als belangrijke verbeteringen van het oude asssortiment worden gezien. In het Verenigd Koninkrijk worden veel van de oude cultivars nog bewaard en ook nog wel verkocht. De plant is door frequent snoeien zowel breed als hoog te maken; een geoefend snoeier kan zelfs de plant een heuse stam met een hoge kruin laten ontwikkelen. De stengels zijn echter wel erg breekbaar. De stengel is meestal lichtgroen tot lichtbruin (afhankelijk van de dikte), de bladeren felgekleurd met onder meer paars, bruin en geel met bijna altijd een lichtgroene rand of 'grondkleur', veel jonge planten hebben overwegend groene bladeren waarvan de felle kleur tijdens de groei steeds meer oppervlak inneemt. Kenmerken zijn:Enkele aanbevolen cultivars voor binnen:","Siernetel (Solenostemon scutellarioides, synoniem: Coleus blumei) is een plant uit de lipbloemenfamilie (Lamiaceae). De plant wordt in de volksmond ook vaak coleus genoemd (niet te verwarren met het geslacht Coleus waar de siernetel van uitmaakt). De planten waren al in cultuur toen ze werden meegenomen naar Europa vanuit Indonesië en de wilde voorouders zijn niet precies bekend. Kenmerken zijn: Enkele aanbevolen cultivars voor binnen:","summarize: Siernetel (Solenostemon scutellarioides, synoniem: Coleus blumei) este o plante din familia lipbloemelor (Lamiaceae). De asemenea, în popularitate se numește adesea coleus (fără a se amesteca cu țesutul Coleus), plantele erau deja în cultură atunci când au fost transportate în Europa din Indonezia, iar strămoșii sălbatici nu sunt foarte cunoscu"
Warmtestraling,Warmtestraling is elektromagnetische straling die een object uitzendt als gevolg van de temperatuur van het object. Er zijn algemene formules voor de warmtestraling van een geïdealiseerd object: de zwarte straler. De belangrijkste is de wet van Planck. Diverse andere formules kunnen daaruit worden afgeleid.,Warmtestraling is elektromagnetische straling die een object uitzendt als gevolg van de temperatuur van het object. Er zijn algemene formules voor de warmtestraling van een geïdealiseerd object: de zwarte straler. De belangrijkste is de wet van Planck. Diverse andere formules kunnen daaruit worden afgeleid.,rezumat: Încălzirea este izolarea elektromagnetică a unui obiect care emite ca urmare a temperaturii obiectului. Există formule generale pentru încălzirea unui obiect geïdealisat: izolarea zwarte. Principalul este wet van Planck. Diverse alte formule pot fi desemnate acolouit.
517_v.Chr.,Het jaar 517 v.Chr. is een jaartal volgens de christelijke jaartelling.,Het jaar 517 v.Chr. is een jaartal volgens de christelijke jaartelling.,summarize: Het year 517 v.Chr. este eenyeartal volgens de christelijke Yeartelling.----(Anuar)-ul Crăciunului.---
Steenkool,Steenkool is een fossiele brandstof en bestaat uit afzettingen van plantenresten die in het geologisch verleden zijn gevormd.,Steenkool is een fossiele brandstof en bestaat uit afzettingen van plantenresten die in het geologisch verleden zijn gevormd.,rezumat: Steenkool este een fossiele brandstof şi bestaat uit afzettingen van plantenresten die in het geologisch verleden sunt geformate.----
Proefschrift,"Een proefschrift of dissertatie, ook wel (doctoraats)thesis genoemd, is een originele wetenschappelijke verhandeling, geschreven door een promovendus, ter verkrijging van de doctorstitel. Het kan ook bestaan uit een samenvoeging van eerdere wetenschappelijke publicaties van de auteur met een inleiding, samenvatting en persoonlijk dankwoord, met aan sommige universiteiten ook een biografie van de kandidaat - dit is meestal het geval. De promovendus doet hiermee verslag van een door hem of haar zelfstandig uitgevoerd nieuw wetenschappelijk onderzoek. De voertaal van een proefschrift is vaak het Engels om internationale uitwisseling mogelijk te maken, maar bij taalkundige of historische onderwerpen voegt de taal zich soms naar het onderwerp: bijvoorbeeld een proefschrift in het Frans over Franse literatuur of in het Nederlands over Nederlandse poëzie. Een promotiecommissie van deskundigen beoordeelt het proefschrift en bij goedkeuring komt het tot een promotieplechtigheid. Bij een geslaagde verdediging van het proefschrift tijdens deze plechtigheid verleent de promotor de promovendus de doctorstitel en wordt de kersverse doctor gewezen op de rechten en plichten die deze titel aankleven. Het verrichten van dit onderzoek en het schrijven van een proefschrift is in Nederland geen geringe opgave, waar men meestal minstens vier jaren voor uittrekt. Om een proefschrift te mogen schrijven moet men doorgaans eerst het doctoraalexamen (drs., mr. of ir.) of overeenkomstig (MA, LLM of MSc) hebben behaald. Het is mogelijk om, bij grote uitzondering, zonder WO-titel te promoveren, indien de persoon met gerede kans op succes een proefschrift kan voltooien op basis van zelfstandig wetenschappelijk onderzoek. Hierbij dient de promovendus deskundigen en een promotor te vinden die (schriftelijk) garant staan, hetgeen niet gemakkelijk is.","Een proefschrift of dissertatie, in België door leenvertaling uit het Frans (thèse de doctorat) ook wel (doctoraats)thesis genoemd, is een originele wetenschappelijke verhandeling, geschreven door een promovendus ter verkrijging van de doctorstitel. Het proefschrift dient te worden onderscheiden van de scriptie, die benodigd is ter verkrijging van de titel van doctorandus.","summarize: Un probei de dizertaţie, denumită şi teză (doctoratelor), este o lucrare ştiinţifică originală, scrisă de un promovent, la obţinerea titlului de doctor. Poate să conţină şi o combinaţie de publicaţii ştiinţifice anterioare ale autorului cu o introducere, o sinteză şi un mulţumire personală, la unele universităţi şi o biografie a candidatului - acest lucru este de obicei cazul"
31_mei,31 mei is de 151ste dag van het jaar (152ste dag in een schrikkeljaar) in de gregoriaanse kalender. Hierna volgen nog 214 dagen tot het einde van het jaar.,31 mei is de 151ste dag van het jaar (152ste dag in een schrikkeljaar) in de gregoriaanse kalender. Hierna volgen nog 214 dagen tot het einde van het jaar.,summarize: 31 mai este cea de-a 151-a zi a anului (cea de-a 152-a zi în een schrikkeljaar) din calendarul gregorian. Hierna volgen încă 214 zile până la sfârşitul anului.
Akademio_de_Esperanto,"De Akademio de Esperanto (Academie van Esperanto) is een onafhankelijk instituut, dat tot doel heeft de grammatica van de taal Esperanto in stand te houden en de ontwikkeling van de taal te controleren. De Akademio de Esperanto is geïnspireerd door nationale Academieën zoals de Académie française. In zijn huidige vorm bestaat de Akademio sinds 1948, maar het instituut vindt zijn oorsprong in een Taalcomité (Lingva Komitato), dat in 1905 werd opgericht. De Akademio telt 45 leden, die telkens voor een periode van 9 jaar worden benoemd. Nieuwe leden worden door bestaande leden voorgedragen. Dit moeten vooraanstaande esperantologen, Esperanto-pedagogen of schrijvers zijn. Daarnaast kunnen eminente persoonlijkheden tot corresponderend lid van de Akademio worden benoemd. Op dit moment (2004) is één Nederlander lid. Een van de achtergronden van de Akademio is de bezorgdheid onder esperantisten dat de taal door hervormingspogingen, ruzies over grammatica of dialectvorming zou kunnen versnipperen. Daarom doet de Akademio aanbevelingen over ""correct"" taalgebruik. Zo deed de Akademio in 1967 een uitspraak in een ruzie over lijdende deelwoorden; wees ze in 1980 een hervorming van het alfabet en de spelling af en deed ze in 1989 aanbevelingen over de manier waarop eigennamen in Esperanto kunnen worden weergegeven. De Akademio moet het echter helemaal van haar prestige hebben of deze aanbevelingen daadwerkelijk worden opgevolgd. Dat dit niet altijd het geval is, blijkt bij de namen van landen in Esperanto. De Akademio stelde (in 1989) een lijst op van de officiële aanduidingen, maar tot op de dag van vandaag zijn er verschillende manieren waarop sommige landen en hun inwoners door sprekers van Esperanto worden omschreven. De Akademio stelde bijvoorbeeld Koreo en koreano vast als de correcte naam voor Korea en één van zijn inwoners, maar moest enkele jaren later erkennen dat men meestal juist koreo gebruikt om een Koreaan aan te duiden, en daarvan afgeleid Koreujo of Koreio als naam van het land.","De Akademio de Esperanto (Academie van Esperanto) is een onafhankelijk instituut, dat tot doel heeft de grammatica van de taal Esperanto in stand te houden en de ontwikkeling van de taal te controleren. De Akademio de Esperanto is geïnspireerd door nationale Academieën zoals de Académie française. In zijn huidige vorm bestaat de Akademio sinds 1948, maar het instituut vindt zijn oorsprong in een Taalcomité (Lingva Komitato), dat in 1905 werd opgericht.","summarize: Academia de Esperanto (Academia de Esperanto) este un institut independent, care are ca scop menţinerea grammaticii limbii Esperanto şi controlarea dezvoltării acesteia. Academia de Esperanto este inspirată de Academiile naţionale, cum ar fi Académie française. În forma sa actuală există Academia din 1948, dar institutul îşi are originea în un Taalcomité (Lingva Komitato), înfiinţat în 1905. Academia are 45 de"
782_v.Chr.,Het jaar 782 v.Chr. is een jaartal volgens de christelijke jaartelling.,Het jaar 782 v.Chr. is een jaartal volgens de christelijke jaartelling.,summarize: Het year 782 v.Chr. este eenyeartal volgens de christelijke Yeartelling.---(Anuarele creştine) - (Anuarele creştine).
