"url","abstract","T5","BART","BART-CNN"
"Swamp","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation. The two main types of swamp are ""true"" or swamp forests and ""transitional"" or shrub swamps. In the boreal regions of Canada, the word swamp is colloquially used for what is more correctly termed a bog or muskeg. The water of a swamp may be fresh water, brackish water or seawater. Some of the world's largest swamps are found along major rivers such as the Amazon, the Mississippi, and the Congo.","many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. the water of a swamp may be fresh water, brackish water or sea water. some of the world's largest swamps are found along major rivers such as the amazon, the Mississippi, and the Congo.","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation.","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation."
"Badalona","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina mountain range. Badalona is the third most-populated municipality in Catalonia after Barcelona and L'Hospitalet de Llobregat. It became a city in 1897. The city is currently governed by the Partido Popular.","Badalona is the third most-populated municipality in catalonia after Barcelona and L'Hospitalet de llobregat. it is located in the comarca of the barcelonès, joined to Barcelona and part of its metropolitan area. the city is currently governed by the Partido Popular.","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina.","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina."
"Ambassador","An ambassador is an official envoy, especially a highest ranking diplomat who represents a state and is usually accredited to another sovereign state, or to an international organization as the resident representative of their own government or sovereign or appointed for a special and often temporary diplomatic assignment.  The word is also often used more liberally for persons who are known, without national appointment, to represent certain professions, activities and fields of endeavor. In its most common use, the term usually applies to the ranking government representative stationed in a foreign capital. The host country typically allows the ambassador control of specific territory called an embassy, whose territory, staff, and vehicles are generally afforded diplomatic immunity in the host country. The equivalent to an Ambassador exchanged among members of the Commonwealth of Nations are known as High Commissioners. The ""ambassadors"" of the Holy See are known as Papal or Apostolic Nuncios.As formally defined and recognized at the Congress of Vienna (1815), ambassadors were originally regarded as personal representatives of their country's chief executive rather than of the whole country, and their rank entitled them to meet personally with the head of state of the host country. Since 1945, all nations have been recognized as equals, and ambassadors or their equivalents are sent to all countries with which diplomatic relations are maintained. Before the development of modern communications, ambassadors were entrusted with extensive powers; they have since been reduced to spokespeople for their foreign offices.[citation needed]","an ambassador is an official envoy, especially a highest ranking diplomat. the term usually applies to the ranking government representative stationed in a foreign capital. the host country typically allows the ambassador control of specific territory called an embassy. since 1945, all nations have been recognized as equals.","An ambassador is an official envoy, especially a highest ranking diplomat who represents a state and is usually accredited to another sovereign state, or to an international organization as the resident representative of their own government or sovereign state.","An ambassador is an official envoy, especially a highest ranking diplomat who represents a state and is usually accredited to another sovereign state, or to an international organization as the resident representative of their own government or sovereign state."
"258","Year 258 (CCLVIII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Tuscus and Bassus (or, less frequently, year 1011 Ab urbe condita). The denomination 258 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 258 (CCLVIII) was a common year starting on Friday of the Julian calendar. the year was known as the Year of the Consulship of Tuscus and bassus. the denomination 258 for this year has been used since the early medieval period.","Year 258 (CCLVIII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar","Year 258 (CCLVIII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar"
"Martin_Sheen","Ramón Antonio Gerardo Estévez (born August 3, 1940), better known by his stage name Martin Sheen, is an American actor who first achieved fame with roles in the films Badlands (1973) and Apocalypse Now (1979). Other notable films in Sheen's career include Gettysburg (1993), The Departed (2006), and The Amazing Spider-Man (2012). He also starred in the television series The West Wing (1999–2006) as President Josiah Bartlet. In film, he has won the Best Actor award at the San Sebastián International Film Festival for his performance as Kit Carruthers in Badlands. His portrayal of Capt. Willard in Apocalypse Now earned a nomination for the BAFTA Award for Best Actor. Sheen has worked with a wide variety of film directors, such as Richard Attenborough, Francis Ford Coppola, Terrence Malick, David Cronenberg, Mike Nichols, Martin Scorsese, Steven Spielberg, and Oliver Stone. He has had a star on the Hollywood Walk of Fame since 1989. In television, he has won both a Golden Globe and two Screen Actors Guild awards for playing the role of President Josiah Bartlet in The West Wing, and an Emmy for guest starring in the sitcom Murphy Brown. Born and raised in the United States by immigrant parents, he adopted the stage name Martin Sheen to help him gain acting parts. He is the father of four children (Emilio, Ramón, Carlos (aka Charlie Sheen), and Renée), all of whom are actors, as is his younger brother Joe Estevez.Although known as an actor, Sheen also has directed one film, Cadence (1990), appearing alongside sons Charlie and Ramón. He has narrated, produced, and directed documentary television, earning two Daytime Emmy awards in the 1980s. In addition to film and television, Sheen has been active in liberal politics.","Ramón Antonio Gerardo estévez, better known by his stage name, is an american actor. he first achieved fame with roles in the films badlands (1973) and apocalypse now (1979) he also starred in the television series the west wing (1999–2006) as president Josiah bartlet.","Ramón Antonio Gerardo Estévez (born August 3, 1940), better known by his stage name Martin Sheen, is an American actor who first achieved fame with roles in the films Badlands (1973) and Apocalypse Now (1979). Other notable films in Sheen's career include Gettysburg (1993), The Departed (2006), and The Amazing Spider-Man (2012). He also starred in the television series The West Wing (1999–2006) as President Josiah Bartlet. In film, he has won the Best Actor award at the San Sebastián International Film Festival for his performance as Kit Carruthers.","Ramón Antonio Gerardo Estévez (born August 3, 1940), better known by his stage name Martin Sheen, is an American actor who first achieved fame with roles in the films Badlands (1973) and Apocalypse Now (1979). Other notable films in Sheen's career include Gettysburg (1993), The Departed (2006), and The Amazing Spider-Man (2012). He also starred in the television series The West Wing (1999–2006) as President Josiah Bartlet. In film, he has won the Best Actor award at the San Sebastián International Film Festival for his performance as Kit Carruthers."
"Barge","A barge is a flat-bottomed boat, built mainly for river and canal transport of heavy goods. Some barges are not self-propelled and need to be towed or pushed by towboats. Canal barges, towed by draft animals on an adjacent towpath, contended with the railway in the early industrial revolution, but were outcompeted in the carriage of high-value items due to the higher speed, falling costs, and route flexibility of rail.","a barge is a flat-bottomed boat, built mainly for river and canal transport of heavy goods. some barges are not self-propelled and need to be towed or pushed by towboats. canal barges contended with the railway in the early industrial revolution.","A barge is a flat-bottomed boat, built mainly for river and canal transport of heavy goods. Some barges are not self-propelled and need to be towed or pushed by towboats. Canal barges, towed by draft animals on an adjacent towpath","A barge is a flat-bottomed boat, built mainly for river and canal transport of heavy goods. Some barges are not self-propelled and need to be towed or pushed by towboats. Canal barges, towed by draft animals on an adjacent towpath"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
"74","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) (or, less frequently, year 827 Ab urbe condita). The denomination 74 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","74 (LXXIV) was a common year starting on Saturday of the Julian calendar. the year was known as the Year of the Consulship of Titus (third time) and Vespasianus (fifth time) 74 has been used since the early medieval period.","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of","Year 74 (LXXIV) was a common year starting on Saturday (link will display the full calendar) of"
