url,abstract,short_abstract,t5_sum
Titanenstrijd,De Titanenstrijd is een verhaal uit de Griekse mythologie. Het handelt over de strijd tussen de titanen en de Olympische goden.,De Titanenstrijd is een verhaal uit de Griekse mythologie. Het handelt over de strijd tussen de Titanen en de Olympische goden.,de titanenstrijd is een verhaal uit de grecse mythologie. het handelt over de strijd tussen de titanen en de Olympische goden.
OsCommerce,"OsCommerce is opensourcesoftware waarmee een onlinewinkel kan worden gestart en onderhouden. Om osCommerce te kunnen gebruiken is een server nodig waarop een webserver (bijvoorbeeld Apache), PHP en MySQL zijn geïnstalleerd. De online betaaloplossingen van ChronoPay, MultiSafePay, TrustCommerce, SecPay, iPayment kunnen automatisch worden geïnstalleerd. Vele andere betaalmodulen zoals bijvoorbeeld iDeal en PayPal zijn ook beschikbaar.","OsCommerce is opensourcesoftware waarmee een onlinewinkel kan worden gestart en onderhouden. Om osCommerce te kunnen gebruiken is een server nodig waarop een webserver (bijvoorbeeld Apache), PHP en MySQL zijn geïnstalleerd. De online betaaloplossingen van ChronoPay, MultiSafePay, TrustCommerce, SecPay, iPayment kunnen automatisch worden geïnstalleerd. Vele andere betaalmodules zoals iDeal en PayPal zijn ook beschikbaar.","osCommerce is opensourcesoftware waarmee een onlinewinkel kan worden gestart en onderhouden. de online betaaloplossingen van ChronoPay, MultiSafePay, SecPay, iPayment kunnen automatisch worden ge<unk>nstalleerd."
Siernetel,"Siernetel (Solenostemon scutellarioides, synoniem: Coleus blumei) is een plant uit de lipbloemenfamilie (Lamiaceae). De plant wordt in de volksmond ook vaak coleus genoemd (niet te verwarren met het geslacht Coleus). De planten waren al in cultuur toen ze werden meegenomen naar Europa vanuit Indonesië en de wilde voorouders zijn niet precies bekend. Het is een plant met niet-stekende, netelige bladeren, die niet giftig zijn en geen aangetoonde hallucinogene eigenschappen hebben. De plant is in cultuur vanwege zijn sierwaarde, vanwege de bontgekleurde bladeren, die soms ook nog gekarteld of gefranjerd zijn. Er zijn zowel via stek als via zaad vermeerderde cultivars, die af en toe bij tuincentra in de vorm van zaadjes of jonge plantjes te koop zijn. De via stek vermeerderde cultivars hebben een hogere sierwaarde, maar zijn ook duurder dan de vaak als eenjarige perkplanten verkochte zaaicultivars. Vooral in de Verenigde Staten en Japan zijn vele cultivars verkrijgbaar. De laatste jaren zijn er vooral in de Verenigde Staten vele nieuw ontwikkelde cultivars bijgekomen als belangrijke verbeteringen van het oude asssortiment worden gezien. In het Verenigd Koninkrijk worden veel van de oude cultivars nog bewaard en ook nog wel verkocht. De plant is door frequent snoeien zowel breed als hoog te maken; een geoefend snoeier kan zelfs de plant een heuse stam met een hoge kruin laten ontwikkelen. De stengels zijn echter wel erg breekbaar. De stengel is meestal lichtgroen tot lichtbruin (afhankelijk van de dikte), de bladeren felgekleurd met onder meer paars, bruin en geel met bijna altijd een lichtgroene rand of 'grondkleur', veel jonge planten hebben overwegend groene bladeren waarvan de felle kleur tijdens de groei steeds meer oppervlak inneemt. Kenmerken zijn:Enkele aanbevolen cultivars voor binnen:","Siernetel (Solenostemon scutellarioides, synoniem: Coleus blumei) is een plant uit de lipbloemenfamilie (Lamiaceae). De plant wordt in de volksmond ook vaak coleus genoemd (niet te verwarren met het geslacht Coleus waar de siernetel van uitmaakt). De planten waren al in cultuur toen ze werden meegenomen naar Europa vanuit Indonesië en de wilde voorouders zijn niet precies bekend. Kenmerken zijn: Enkele aanbevolen cultivars voor binnen:",siernetel is een plant uit de lipbloemenfamilie (Lamiaceae) de plant wordt in de volksmond ook vaak coleus genoemd (niet te verwarren met het geslacht Coleus) de planten waren al in cultuur toen ze werden meegenomen naar Eu
Warmtestraling,Warmtestraling is elektromagnetische straling die een object uitzendt als gevolg van de temperatuur van het object. Er zijn algemene formules voor de warmtestraling van een geïdealiseerd object: de zwarte straler. De belangrijkste is de wet van Planck. Diverse andere formules kunnen daaruit worden afgeleid.,Warmtestraling is elektromagnetische straling die een object uitzendt als gevolg van de temperatuur van het object. Er zijn algemene formules voor de warmtestraling van een geïdealiseerd object: de zwarte straler. De belangrijkste is de wet van Planck. Diverse andere formules kunnen daaruit worden afgeleid.,warmtestraling is elektromagnetische straling die een object uitzendt als gevolg van de temperatuur van het object.
517_v.Chr.,Het jaar 517 v.Chr. is een jaartal volgens de christelijke jaartelling.,Het jaar 517 v.Chr. is een jaartal volgens de christelijke jaartelling.,het jaar 517 v.Chr. is een jaartal volgens de christielijke jaartelling. het jaar 517 v.Chr. is een jaartal volgens de christielijke jaartelling.
Steenkool,Steenkool is een fossiele brandstof en bestaat uit afzettingen van plantenresten die in het geologisch verleden zijn gevormd.,Steenkool is een fossiele brandstof en bestaat uit afzettingen van plantenresten die in het geologisch verleden zijn gevormd.,steenkool is een fossiele brandstof en bestaat uit afzettingen van plantenresten die in het geologisch verleden worden gevormd.
Proefschrift,"Een proefschrift of dissertatie, ook wel (doctoraats)thesis genoemd, is een originele wetenschappelijke verhandeling, geschreven door een promovendus, ter verkrijging van de doctorstitel. Het kan ook bestaan uit een samenvoeging van eerdere wetenschappelijke publicaties van de auteur met een inleiding, samenvatting en persoonlijk dankwoord, met aan sommige universiteiten ook een biografie van de kandidaat - dit is meestal het geval. De promovendus doet hiermee verslag van een door hem of haar zelfstandig uitgevoerd nieuw wetenschappelijk onderzoek. De voertaal van een proefschrift is vaak het Engels om internationale uitwisseling mogelijk te maken, maar bij taalkundige of historische onderwerpen voegt de taal zich soms naar het onderwerp: bijvoorbeeld een proefschrift in het Frans over Franse literatuur of in het Nederlands over Nederlandse poëzie. Een promotiecommissie van deskundigen beoordeelt het proefschrift en bij goedkeuring komt het tot een promotieplechtigheid. Bij een geslaagde verdediging van het proefschrift tijdens deze plechtigheid verleent de promotor de promovendus de doctorstitel en wordt de kersverse doctor gewezen op de rechten en plichten die deze titel aankleven. Het verrichten van dit onderzoek en het schrijven van een proefschrift is in Nederland geen geringe opgave, waar men meestal minstens vier jaren voor uittrekt. Om een proefschrift te mogen schrijven moet men doorgaans eerst het doctoraalexamen (drs., mr. of ir.) of overeenkomstig (MA, LLM of MSc) hebben behaald. Het is mogelijk om, bij grote uitzondering, zonder WO-titel te promoveren, indien de persoon met gerede kans op succes een proefschrift kan voltooien op basis van zelfstandig wetenschappelijk onderzoek. Hierbij dient de promovendus deskundigen en een promotor te vinden die (schriftelijk) garant staan, hetgeen niet gemakkelijk is.","Een proefschrift of dissertatie, in België door leenvertaling uit het Frans (thèse de doctorat) ook wel (doctoraats)thesis genoemd, is een originele wetenschappelijke verhandeling, geschreven door een promovendus ter verkrijging van de doctorstitel. Het proefschrift dient te worden onderscheiden van de scriptie, die benodigd is ter verkrijging van de titel van doctorandus.","een proefschrift of dissertatie, ook wel (doctoraats)thesis genoemd, is een originele wetenschappelijke verhandeling, geschreven door een promovendus, ter verkrijging van de doctorstitel. het kan ook bestaan uit een samenvoeging v"
31_mei,31 mei is de 151ste dag van het jaar (152ste dag in een schrikkeljaar) in de gregoriaanse kalender. Hierna volgen nog 214 dagen tot het einde van het jaar.,31 mei is de 151ste dag van het jaar (152ste dag in een schrikkeljaar) in de gregoriaanse kalender. Hierna volgen nog 214 dagen tot het einde van het jaar.,31 mei is de 151ste dag van het jaar (152ste dag in een schrikkeljaar) in de gregoriaanse kalender. hierna volgen nog 214 dagen tot het einde van het jaar.
Akademio_de_Esperanto,"De Akademio de Esperanto (Academie van Esperanto) is een onafhankelijk instituut, dat tot doel heeft de grammatica van de taal Esperanto in stand te houden en de ontwikkeling van de taal te controleren. De Akademio de Esperanto is geïnspireerd door nationale Academieën zoals de Académie française. In zijn huidige vorm bestaat de Akademio sinds 1948, maar het instituut vindt zijn oorsprong in een Taalcomité (Lingva Komitato), dat in 1905 werd opgericht. De Akademio telt 45 leden, die telkens voor een periode van 9 jaar worden benoemd. Nieuwe leden worden door bestaande leden voorgedragen. Dit moeten vooraanstaande esperantologen, Esperanto-pedagogen of schrijvers zijn. Daarnaast kunnen eminente persoonlijkheden tot corresponderend lid van de Akademio worden benoemd. Op dit moment (2004) is één Nederlander lid. Een van de achtergronden van de Akademio is de bezorgdheid onder esperantisten dat de taal door hervormingspogingen, ruzies over grammatica of dialectvorming zou kunnen versnipperen. Daarom doet de Akademio aanbevelingen over ""correct"" taalgebruik. Zo deed de Akademio in 1967 een uitspraak in een ruzie over lijdende deelwoorden; wees ze in 1980 een hervorming van het alfabet en de spelling af en deed ze in 1989 aanbevelingen over de manier waarop eigennamen in Esperanto kunnen worden weergegeven. De Akademio moet het echter helemaal van haar prestige hebben of deze aanbevelingen daadwerkelijk worden opgevolgd. Dat dit niet altijd het geval is, blijkt bij de namen van landen in Esperanto. De Akademio stelde (in 1989) een lijst op van de officiële aanduidingen, maar tot op de dag van vandaag zijn er verschillende manieren waarop sommige landen en hun inwoners door sprekers van Esperanto worden omschreven. De Akademio stelde bijvoorbeeld Koreo en koreano vast als de correcte naam voor Korea en één van zijn inwoners, maar moest enkele jaren later erkennen dat men meestal juist koreo gebruikt om een Koreaan aan te duiden, en daarvan afgeleid Koreujo of Koreio als naam van het land.","De Akademio de Esperanto (Academie van Esperanto) is een onafhankelijk instituut, dat tot doel heeft de grammatica van de taal Esperanto in stand te houden en de ontwikkeling van de taal te controleren. De Akademio de Esperanto is geïnspireerd door nationale Academieën zoals de Académie française. In zijn huidige vorm bestaat de Akademio sinds 1948, maar het instituut vindt zijn oorsprong in een Taalcomité (Lingva Komitato), dat in 1905 werd opgericht.","de Akademio de Esperanto is een onafhankelijk instituut, dat tot doel heeft de grammatica van de taal Esperanto in stand te houden en de ontwikkeling van de taal te controleren. de Akademio telt 45 leden, "
782_v.Chr.,Het jaar 782 v.Chr. is een jaartal volgens de christelijke jaartelling.,Het jaar 782 v.Chr. is een jaartal volgens de christelijke jaartelling.,het jaar 782 v.Chr. is een jaartal volgens de christieke jaartelling. het jaar 782 v.Chr. is een jaartal volgens de christieke jaartelling.
